,name,actual_price,selling_price,offer,rating(outof5),no_of_ratings,no_of_reviews,image_url,memory,dimension,camera,battery,processor,warranty,product_link
186,Micromax J3,"₹1,549",₹860,44% off,3.1,8 Ratings , 1 Reviews,,,,,,,,https://www.flipkart.com/micromax-j3/p/itm3cbcd983abd1c?pid=MOBGVE3ZQJJYBBWA&lid=LSTMOBGVE3ZQJJYBBWA7TN7XY&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_619&otracker=search&otracker1=search&fm=organic&iid=312f46f1-a0be-4e6d-9afa-2c796a13d92e.MOBGVE3ZQJJYBBWA.SEARCH&ppt=None&ppn=None&ssid=4at2x76im80000001703699126923&qH=eb4af0bf07c16429
187,itel iPower 430 Triple sim|2500 mAh Battery|Expandable Storage upto 32GB,"₹1,899","₹1,549",18% off,4,359 Ratings , 20 Reviews,,8 MB RAM | 8 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,,2500 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),https://www.flipkart.com/itel-ipower-430-triple-sim-2500-mah-battery-expandable-storage-upto-32gb/p/itme08646edebea3?pid=MOBGHBGSRDRRAC4G&lid=LSTMOBGHBGSRDRRAC4GQJIDCQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_620&otracker=search&otracker1=search&fm=organic&iid=312f46f1-a0be-4e6d-9afa-2c796a13d92e.MOBGHBGSRDRRAC4G.SEARCH&ppt=None&ppn=None&ssid=4at2x76im80000001703699126923&qH=eb4af0bf07c16429
188,"APPLE iPhone 13 (Midnight, 128 GB)","₹59,900","₹58,900",1% off,4.6,"2,75,400 Ratings "," 13,409 Reviews",,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,A15 Bionic Chip Processor,Brand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_621&otracker=search&otracker1=search&fm=organic&iid=312f46f1-a0be-4e6d-9afa-2c796a13d92e.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=4at2x76im80000001703699126923&qH=eb4af0bf07c16429
189,itel MagicX Play 4G| 1900 mAh battery| Expandable Storage upto 64GB,"₹2,699","₹1,499",44% off,3.9,323 Ratings , 40 Reviews,,48 MB RAM | 128 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,,1900 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),https://www.flipkart.com/itel-magicx-play-4g-1900-mah-battery-expandable-storage-upto-64gb/p/itma5fabd240e7d1?pid=MOBGHAENX6BUBS7G&lid=LSTMOBGHAENX6BUBS7GFW9LKD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_622&otracker=search&otracker1=search&fm=organic&iid=312f46f1-a0be-4e6d-9afa-2c796a13d92e.MOBGHAENX6BUBS7G.SEARCH&ppt=None&ppn=None&ssid=4at2x76im80000001703699126923&qH=eb4af0bf07c16429
190,"realme Narzo 60X 5G (Nebula Purple, 128 GB)","₹15,999","₹14,385",10% off,4.3,"1,018 Ratings ", 67 Reviews,,6 GB RAM | 128 GB ROM,17.07 cm (6.72 inch) Display,50MP Rear Camera,,5000 mAh Battery,Domestic Warranty 1 Year For Handset and 6 Months For Accessories.,https://www.flipkart.com/realme-narzo-60x-5g-nebula-purple-128-gb/p/itm906a3c913a97f?pid=MOBGTNS6C5MAJPMZ&lid=LSTMOBGTNS6C5MAJPMZEQEIUU&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_623&otracker=search&otracker1=search&fm=organic&iid=312f46f1-a0be-4e6d-9afa-2c796a13d92e.MOBGTNS6C5MAJPMZ.SEARCH&ppt=None&ppn=None&ssid=4at2x76im80000001703699126923&qH=eb4af0bf07c16429
191,Nokia TA-1174 / TA-1299,"₹1,599","₹1,240",22% off,4.2,"56,552 Ratings "," 5,217 Reviews",,,,,,,,https://www.flipkart.com/nokia-ta-1174-ta-1299/p/itm4211c288e8b81?pid=MOBEWXFKUAXUKQQA&lid=LSTMOBEWXFKUAXUKQQALQE7I8&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_26_624&otracker=search&otracker1=search&fm=organic&iid=312f46f1-a0be-4e6d-9afa-2c796a13d92e.MOBEWXFKUAXUKQQA.SEARCH&ppt=None&ppn=None&ssid=4at2x76im80000001703699126923&qH=eb4af0bf07c16429
192,"Infinix Hot 20 5G (Space Blue, 128 GB)","₹19,999","₹12,999",35% off,4.1,"8,717 Ratings ", 744 Reviews,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 810 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-hot-20-5g-space-blue-128-gb/p/itm11fe82212c9ae?pid=MOBGHGHFJMNPZJJR&lid=LSTMOBGHGHFJMNPZJJRDMNFRT&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_625&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGHGHFJMNPZJJR.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
193,itel iPower 430 Triple sim|2500 mAh Battery|Expandable Storage upto 32GB,"₹1,899","₹1,549",18% off,4,359 Ratings , 20 Reviews,,8 MB RAM | 8 MB ROM,6.1 cm (2.4 inch) Display,0.3MP Rear Camera,,2500 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),https://www.flipkart.com/itel-ipower-430-triple-sim-2500-mah-battery-expandable-storage-upto-32gb/p/itme08646edebea3?pid=MOBGHBGSRDRRAC4G&lid=LSTMOBGHBGSRDRRAC4GQJIDCQ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_626&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGHBGSRDRRAC4G.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
194,"APPLE iPhone 13 (Midnight, 128 GB)","₹59,900","₹58,900",1% off,4.6,"2,75,400 Ratings "," 13,409 Reviews",,128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,A15 Bionic Chip Processor,Brand Warranty for 1 Year,https://www.flipkart.com/apple-iphone-13-midnight-128-gb/p/itmca361aab1c5b0?pid=MOBG6VF5Q82T3XRS&lid=LSTMOBG6VF5Q82T3XRSOXJLM9&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_627&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBG6VF5Q82T3XRS.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
195,itel MagicX Play 4G| 1900 mAh battery| Expandable Storage upto 64GB,"₹2,699","₹1,499",44% off,3.9,323 Ratings , 40 Reviews,,48 MB RAM | 128 MB ROM,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,,1900 mAh Battery,12+1 Month Warranty | 111 Days Replacement Offer (Special Offer),https://www.flipkart.com/itel-magicx-play-4g-1900-mah-battery-expandable-storage-upto-64gb/p/itma5fabd240e7d1?pid=MOBGHAENX6BUBS7G&lid=LSTMOBGHAENX6BUBS7GFW9LKD&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_628&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGHAENX6BUBS7G.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
196,Cellecor C9+,"₹1,349",₹879,34% off,4,45 Ratings , 4 Reviews,,,,,,,,https://www.flipkart.com/cellecor-c9/p/itmd279d5e006318?pid=MOBGZT8YTXCJP6DZ&lid=LSTMOBGZT8YTXCJP6DZZXDBOJ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_629&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGZT8YTXCJP6DZ.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
197,Cellecor X3,"₹1,749",₹959,45% off,3.7,"2,869 Ratings ", 130 Reviews,,32 MB RAM | 32 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display,0.3MP Rear Camera,,1000 mAh Battery,1 Year Warranty for Phone and 6 Months  Warranty for Accessories Including Battery from the Date of Purchase.,https://www.flipkart.com/cellecor-x3/p/itmf5788783aa397?pid=MOBGNTQZR5YGRYBY&lid=LSTMOBGNTQZR5YGRYBYI3ZRIV&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_630&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGNTQZR5YGRYBY.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
198,"IQOO Z7s 5G (Norway Blue, 128 GB)","₹23,999","₹17,164",28% off,4.3,"1,895 Ratings ", 120 Reviews,,6 GB RAM | 128 GB ROM,16.21 cm (6.38 inch) Display,64MP Rear Camera,,4500 mAh Battery,Domestic 1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/iqoo-z7s-5g-norway-blue-128-gb/p/itmd271c852acda8?pid=MOBGPVH5JJZ4JBSC&lid=LSTMOBGPVH5JJZ4JBSC9AIOJZ&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_631&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGPVH5JJZ4JBSC.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
199,"Nokia 130 Music Dual Sim, Music Player, Wireless FM Radio and Dedicated Music Buttons","₹2,199","₹2,045",7% off,4.4,365 Ratings , 21 Reviews,,4 MB RAM | 4 MB ROM,6.1 cm (2.4 inch) Display,0MP Front Camera,1450 mAh Battery,6261D Processor,1 Year Replacement Warranty for Device and 6 Months Manufacturer Warranty for Inbox Accessories Including Battery from the Date of Purchase,https://www.flipkart.com/nokia-130-music-dual-sim-player-wireless-fm-radio-dedicated-buttons/p/itm2d76fa931c507?pid=MOBGSFEC2SSXVUNB&lid=LSTMOBGSFEC2SSXVUNBYL5OLM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_632&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGSFEC2SSXVUNB.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
200,"Infinix Hot 20 5G (Blaster Green, 128 GB)","₹19,999","₹12,999",35% off,4.1,"8,717 Ratings ", 744 Reviews,,6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display,50MP + AI Lens | 8MP Front Camera,5000 mAh Li-ion Polymer Battery,Dimensity 810 Processor,1 Year on Handset and 6 Months on Accessories,https://www.flipkart.com/infinix-hot-20-5g-blaster-green-128-gb/p/itm11fe82212c9ae?pid=MOBGHGHFSXYFVW3A&lid=LSTMOBGHGHFSXYFVW3ATQBUY1&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_633&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGHGHFSXYFVW3A.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
201,"APPLE iPhone 14 Plus (Yellow, 512 GB)","₹1,09,900","₹95,999",12% off,4.6,"56,932 Ratings "," 3,338 Reviews",,512 GB ROM,17.02 cm (6.7 inch) Super Retina XDR Display,12MP + 12MP | 12MP Front Camera,,"A15 Bionic Chip, 6 Core Processor Processor",1 Year Warranty for Phone and 6 Months Warranty for In-Box Accessories,https://www.flipkart.com/apple-iphone-14-plus-yellow-512-gb/p/itme8304267a4605?pid=MOBGNHT7J4NZUWZ3&lid=LSTMOBGNHT7J4NZUWZ385LZGM&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_634&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGNHT7J4NZUWZ3.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
202,"SAMSUNG Galaxy A14 5G (Black, 128 GB)","₹22,999","₹18,999",17% off,4.1,"2,956 Ratings ", 241 Reviews,,8 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) HD+ Display,50MP + 2MP | 13MP Front Camera,5000 mAh Lithium Ion Battery,SEC S5E8535 (Exynos 1330) Processor,1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-a14-5g-black-128-gb/p/itm05c0df9819b1d?pid=MOBGHT8UAKCPR6ZH&lid=LSTMOBGHT8UAKCPR6ZHGPIM1X&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_635&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGHT8UAKCPR6ZH.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
203,Kechaoda K60,"₹2,499","₹1,799",28% off,4,"1,580 Ratings ", 149 Reviews,,32 MB RAM | 32 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera | 0.3MP Front Camera,,3600 mAh Battery,1 Year Company Domestic Warranty by Company Authorized Service Center.,https://www.flipkart.com/kechaoda-k60/p/itmf4up688jvhvhz?pid=MOBFCMTZ5GENGX2Y&lid=LSTMOBFCMTZ5GENGX2YDUTLNI&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_636&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBFCMTZ5GENGX2Y.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
204,Kechaoda K9,"₹1,499","₹1,230",17% off,4.1,"3,005 Ratings ", 269 Reviews,,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,,1700 mAh Battery,1 Year Company Domestic Warranty by Company Authorized Service Center.,https://www.flipkart.com/kechaoda-k9/p/itmf3pw89weqvqu8?pid=MOBF3HCD98YBPFUQ&lid=LSTMOBF3HCD98YBPFUQXSWT4I&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_637&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBF3HCD98YBPFUQ.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
205,Kechaoda K9,"₹1,499","₹1,230",17% off,4.1,"3,005 Ratings ", 269 Reviews,,32 MB RAM | 64 MB ROM | Expandable Upto 16 GB,6.1 cm (2.4 inch) QVGA Display,0.3MP Rear Camera,,1700 mAh Battery,1 Year Company Domestic Warranty by Company Authorized Service Center.,https://www.flipkart.com/kechaoda-k9/p/itmf3pw89weqvqu8?pid=MOBF3NGUAPUSMJHK&lid=LSTMOBF3NGUAPUSMJHKTG2H57&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_638&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBF3NGUAPUSMJHK.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
206,"OnePlus 11 5G (Eternal Green, 128 GB)","₹56,999","₹51,387",9% off,4.4,626 Ratings , 65 Reviews,,8 GB RAM | 128 GB ROM,17.02 cm (6.7 inch) Display,50MP Rear Camera | 16MP Front Camera,,5000 mAh Battery,domestic warranty of 12 months on phone & 6 months on accessories,https://www.flipkart.com/oneplus-11-5g-eternal-green-128-gb/p/itm668119d115289?pid=MOBGMUGSSSJGKNDU&lid=LSTMOBGMUGSSSJGKNDUOTWPCW&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_639&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGMUGSSSJGKNDU.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
207,"POCO X5 Pro 5G (Yellow, 256 GB)","₹28,999","₹22,999",20% off,4.3,"39,363 Ratings "," 3,840 Reviews",,8 GB RAM | 256 GB ROM,16.94 cm (6.67 inch) Full HD+ Display,108MP + 8MP + 2MP | 16MP Front Camera,5000 mAh Battery,Qualcomm Snapdragon 778G Processor,1 Year Manufacturer Warranty for Phone and 6 Months Warranty for in the Box Accessories,https://www.flipkart.com/poco-x5-pro-5g-yellow-256-gb/p/itm3a4010e6b2c40?pid=MOBGMDKQFCHMDPRJ&lid=LSTMOBGMDKQFCHMDPRJYOTIAA&marketplace=FLIPKART&q=mobiles&store=tyy%2F4io&srno=s_27_640&otracker=search&otracker1=search&fm=organic&iid=0ddff9ff-7795-4ae2-b7a6-b3cc9029f1eb.MOBGMDKQFCHMDPRJ.SEARCH&ppt=None&ppn=None&ssid=nl9qjbf8eo0000001703699130878&qH=eb4af0bf07c16429
